HOST_ID,HOST_NAME,HOST_SINCE,IS_SUPERHOST,RESPONSE_RATE,CREATED_AT
1,Timothy Parker,2018-03-20,FALSE,99,2025-12-26 14:15:54.011
2,Hannah Evans,2024-01-01,FALSE,95,2025-12-26 14:15:54.011
3,Crystal Green,2016-08-06,FALSE,74,2025-12-26 14:15:54.011
4,Kevin Johnson,2020-02-25,FALSE,100,2025-12-26 14:15:54.011
5,Monica Johnson,2024-11-11,FALSE,77,2025-12-26 14:15:54.011
6,Nancy Turner,2016-11-03,FALSE,96,2025-12-26 14:15:54.011
7,Gerald Hunt,2022-01-21,TRUE,99,2025-12-26 14:15:54.011
8,James Lucero,2020-05-25,TRUE,96,2025-12-26 14:15:54.011
9,Antonio Reyes,2020-03-13,TRUE,73,2025-12-26 14:15:54.011
10,Daniel Wells,2017-02-09,TRUE,72,2025-12-26 14:15:54.011
11,Caleb Obrien,2017-11-09,TRUE,72,2025-12-26 14:15:54.011
12,Bryan Morris,2017-07-05,FALSE,92,2025-12-26 14:15:54.011
13,Michelle Johnson,2018-03-12,TRUE,97,2025-12-26 14:15:54.011
14,Robert Stevens,2018-08-07,TRUE,82,2025-12-26 14:15:54.011
15,Kenneth Roach,2016-06-28,TRUE,93,2025-12-26 14:15:54.011
16,Gregory Evans,2017-04-18,TRUE,85,2025-12-26 14:15:54.011
17,Bonnie Soto,2019-01-04,FALSE,86,2025-12-26 14:15:54.011
18,Rebekah Palmer,2024-06-29,FALSE,74,2025-12-26 14:15:54.011
19,Cindy Cortez,2021-11-02,FALSE,81,2025-12-26 14:15:54.011
20,Christopher Diaz,2022-11-17,FALSE,98,2025-12-26 14:15:54.011
21,Benjamin Ross,2017-04-06,FALSE,86,2025-12-26 14:15:54.011
22,Jared Ryan,2022-11-14,FALSE,88,2025-12-26 14:15:54.011
23,Marcus Fox PhD,2018-05-30,TRUE,95,2025-12-26 14:15:54.011
24,Jennifer Morgan,2017-06-09,FALSE,95,2025-12-26 14:15:54.011
25,Joseph Vazquez,2018-07-11,TRUE,83,2025-12-26 14:15:54.011
26,Matthew Miller,2020-12-06,TRUE,85,2025-12-26 14:15:54.011
27,Jesus Fleming,2024-09-18,TRUE,100,2025-12-26 14:15:54.011
28,Ashley Burgess,2021-12-23,FALSE,88,2025-12-26 14:15:54.011
29,Jacob Hunt,2020-07-07,FALSE,91,2025-12-26 14:15:54.011
30,Michelle Vega,2022-10-11,TRUE,80,2025-12-26 14:15:54.011
31,Diana Richardson,2016-08-07,FALSE,82,2025-12-26 14:15:54.011
32,Heidi Cervantes,2024-09-25,TRUE,89,2025-12-26 14:15:54.011
33,Meghan Horn,2020-09-20,TRUE,71,2025-12-26 14:15:54.011
34,Ashley Thornton,2016-06-26,TRUE,96,2025-12-26 14:15:54.011
35,John Kennedy,2024-01-04,TRUE,84,2025-12-26 14:15:54.011
36,Taylor Perkins,2016-08-03,FALSE,84,2025-12-26 14:15:54.011
37,Jeffrey Smith,2019-07-05,TRUE,75,2025-12-26 14:15:54.011
38,Robert Sanders,2017-03-16,TRUE,92,2025-12-26 14:15:54.011
39,Billy Harding,2019-08-18,TRUE,86,2025-12-26 14:15:54.011
40,Roberto Rush,2017-10-09,FALSE,78,2025-12-26 14:15:54.011
41,Kevin Montgomery,2023-03-16,FALSE,70,2025-12-26 14:15:54.011
42,David Shepard,2017-08-31,FALSE,100,2025-12-26 14:15:54.011
43,Monica Navarro,2020-12-19,FALSE,100,2025-12-26 14:15:54.011
44,Helen Tran,2018-04-26,TRUE,79,2025-12-26 14:15:54.011
45,Brian Lane,2022-01-20,FALSE,93,2025-12-26 14:15:54.011
46,Melissa Lucero,2016-01-31,FALSE,84,2025-12-26 14:15:54.011
47,Jeffrey Garcia,2017-12-02,TRUE,72,2025-12-26 14:15:54.011
48,Keith Anderson,2016-08-02,TRUE,72,2025-12-26 14:15:54.011
49,Ralph Gonzalez,2017-08-01,TRUE,84,2025-12-26 14:15:54.011
50,Roy Hopkins,2016-01-11,TRUE,97,2025-12-26 14:15:54.011
51,Emily Jimenez,2021-06-04,FALSE,96,2025-12-26 14:15:54.011
52,Mr. James Nelson,2021-07-31,TRUE,98,2025-12-26 14:15:54.011
53,Jennifer Ramirez,2024-04-24,FALSE,81,2025-12-26 14:15:54.011
54,Toni Mayo,2017-06-28,FALSE,92,2025-12-26 14:15:54.011
55,Taylor Smith,2016-10-04,FALSE,94,2025-12-26 14:15:54.011
56,Caleb Bryan,2019-10-17,TRUE,88,2025-12-26 14:15:54.011
57,Thomas Mcbride,2024-10-10,FALSE,73,2025-12-26 14:15:54.011
58,Jeremy Rogers,2017-04-29,FALSE,71,2025-12-26 14:15:54.011
59,Alex Payne,2019-03-09,FALSE,86,2025-12-26 14:15:54.011
60,Rachel Smith,2018-11-02,TRUE,98,2025-12-26 14:15:54.011
61,Dr. Kathy Miller MD,2019-03-26,TRUE,97,2025-12-26 14:15:54.011
62,Natalie Humphrey,2023-12-01,FALSE,88,2025-12-26 14:15:54.011
63,Jenny Reed,2018-08-29,FALSE,79,2025-12-26 14:15:54.011
64,Jeremy Short,2016-09-10,FALSE,71,2025-12-26 14:15:54.011
65,Cory Gordon,2016-11-27,FALSE,100,2025-12-26 14:15:54.011
66,Tara Kelley,2016-04-10,FALSE,70,2025-12-26 14:15:54.011
67,Jessica Kim,2019-07-11,FALSE,70,2025-12-26 14:15:54.011
68,Roy Merritt,2016-12-12,FALSE,78,2025-12-26 14:15:54.011
69,Stuart James,2019-06-29,FALSE,71,2025-12-26 14:15:54.011
70,Claudia Salas,2024-08-24,FALSE,85,2025-12-26 14:15:54.011
71,Jennifer Frank,2022-08-22,TRUE,95,2025-12-26 14:15:54.011
72,Ryan Graham,2020-05-04,TRUE,76,2025-12-26 14:15:54.011
73,Karen Taylor,2016-09-19,TRUE,99,2025-12-26 14:15:54.011
74,Jorge Morales,2024-09-01,FALSE,84,2025-12-26 14:15:54.011
75,Jason Flores,2021-08-16,TRUE,74,2025-12-26 14:15:54.011
76,Karen Shah,2020-07-07,FALSE,87,2025-12-26 14:15:54.011
77,Charles Barrett,2021-09-12,FALSE,70,2025-12-26 14:15:54.011
78,Tina Henry,2023-07-07,TRUE,82,2025-12-26 14:15:54.011
79,Evan Luna,2022-06-02,FALSE,87,2025-12-26 14:15:54.011
80,Matthew Wall,2018-10-08,TRUE,91,2025-12-26 14:15:54.011
81,Jenny Bryant,2020-03-17,TRUE,95,2025-12-26 14:15:54.011
82,Vicki Ortiz,2017-11-16,FALSE,95,2025-12-26 14:15:54.011
83,Brian Griffin,2020-01-16,FALSE,89,2025-12-26 14:15:54.011
84,Ariana Lopez,2022-08-23,TRUE,84,2025-12-26 14:15:54.011
85,Brian Miranda,2016-10-25,TRUE,96,2025-12-26 14:15:54.011
86,Catherine Henry,2016-07-11,FALSE,77,2025-12-26 14:15:54.011
87,Julie Martinez,2016-11-08,FALSE,82,2025-12-26 14:15:54.011
88,Lance Munoz,2024-11-17,TRUE,76,2025-12-26 14:15:54.011
89,Brian Dean,2022-02-25,TRUE,93,2025-12-26 14:15:54.011
90,Kathy Bowman,2016-01-06,FALSE,94,2025-12-26 14:15:54.011
91,Wendy Singh,2018-12-18,FALSE,70,2025-12-26 14:15:54.011
92,Matthew Fitzpatrick,2019-02-02,FALSE,73,2025-12-26 14:15:54.011
93,William Stein,2016-01-19,FALSE,98,2025-12-26 14:15:54.011
94,Alicia Valenzuela,2023-11-07,TRUE,70,2025-12-26 14:15:54.011
95,Belinda Moreno,2021-11-07,TRUE,84,2025-12-26 14:15:54.011
96,Todd Hutchinson,2016-07-23,TRUE,85,2025-12-26 14:15:54.011
97,Jason Hoover,2023-05-25,FALSE,78,2025-12-26 14:15:54.011
98,Jesse Romero,2019-11-14,FALSE,90,2025-12-26 14:15:54.011
99,Joyce Wright,2020-02-26,TRUE,93,2025-12-26 14:15:54.011
100,Joel Dean,2021-09-03,FALSE,89,2025-12-26 14:15:54.011
101,Brandon Olson,2017-02-20,FALSE,98,2025-12-26 14:15:54.011
102,Sarah Zavala,2024-08-29,TRUE,98,2025-12-26 14:15:54.011
103,Tabitha Foster,2017-02-26,TRUE,74,2025-12-26 14:15:54.011
