HOST_ID,HOST_NAME,HOST_SINCE,IS_SUPERHOST,RESPONSE_RATE,RESPONSE_RATE_QUALITY,CREATED_AT
1,Timothy_Parker,2018-03-20,FALSE,99,Excellent,2025-12-26 14:15:54.011
2,Hannah_Evans,2024-01-01,FALSE,95,Excellent,2025-12-26 14:15:54.011
3,Crystal_Green,2016-08-06,FALSE,74,Good,2025-12-26 14:15:54.011
4,Kevin_Johnson,2020-02-25,FALSE,100,Excellent,2025-12-26 14:15:54.011
5,Monica_Johnson,2024-11-11,FALSE,77,Good,2025-12-26 14:15:54.011
6,Nancy_Turner,2016-11-03,FALSE,96,Excellent,2025-12-26 14:15:54.011
7,Gerald_Hunt,2022-01-21,TRUE,99,Excellent,2025-12-26 14:15:54.011
8,James_Lucero,2020-05-25,TRUE,96,Excellent,2025-12-26 14:15:54.011
9,Antonio_Reyes,2020-03-13,TRUE,73,Good,2025-12-26 14:15:54.011
10,Daniel_Wells,2017-02-09,TRUE,72,Good,2025-12-26 14:15:54.011
11,Caleb_Obrien,2017-11-09,TRUE,72,Good,2025-12-26 14:15:54.011
12,Bryan_Morris,2017-07-05,FALSE,92,Excellent,2025-12-26 14:15:54.011
13,Michelle_Johnson,2018-03-12,TRUE,97,Excellent,2025-12-26 14:15:54.011
14,Robert_Stevens,2018-08-07,TRUE,82,Good,2025-12-26 14:15:54.011
15,Kenneth_Roach,2016-06-28,TRUE,93,Excellent,2025-12-26 14:15:54.011
16,Gregory_Evans,2017-04-18,TRUE,85,Good,2025-12-26 14:15:54.011
17,Bonnie_Soto,2019-01-04,FALSE,86,Good,2025-12-26 14:15:54.011
18,Rebekah_Palmer,2024-06-29,FALSE,74,Good,2025-12-26 14:15:54.011
19,Cindy_Cortez,2021-11-02,FALSE,81,Good,2025-12-26 14:15:54.011
20,Christopher_Diaz,2022-11-17,FALSE,98,Excellent,2025-12-26 14:15:54.011
21,Benjamin_Ross,2017-04-06,FALSE,86,Good,2025-12-26 14:15:54.011
22,Jared_Ryan,2022-11-14,FALSE,88,Good,2025-12-26 14:15:54.011
23,Marcus_Fox_PhD,2018-05-30,TRUE,95,Excellent,2025-12-26 14:15:54.011
24,Jennifer_Morgan,2017-06-09,FALSE,95,Excellent,2025-12-26 14:15:54.011
25,Joseph_Vazquez,2018-07-11,TRUE,83,Good,2025-12-26 14:15:54.011
26,Matthew_Miller,2020-12-06,TRUE,85,Good,2025-12-26 14:15:54.011
27,Jesus_Fleming,2024-09-18,TRUE,100,Excellent,2025-12-26 14:15:54.011
28,Ashley_Burgess,2021-12-23,FALSE,88,Good,2025-12-26 14:15:54.011
29,Jacob_Hunt,2020-07-07,FALSE,91,Excellent,2025-12-26 14:15:54.011
30,Michelle_Vega,2022-10-11,TRUE,80,Good,2025-12-26 14:15:54.011
31,Diana_Richardson,2016-08-07,FALSE,82,Good,2025-12-26 14:15:54.011
32,Heidi_Cervantes,2024-09-25,TRUE,89,Good,2025-12-26 14:15:54.011
33,Meghan_Horn,2020-09-20,TRUE,71,Good,2025-12-26 14:15:54.011
34,Ashley_Thornton,2016-06-26,TRUE,96,Excellent,2025-12-26 14:15:54.011
35,John_Kennedy,2024-01-04,TRUE,84,Good,2025-12-26 14:15:54.011
36,Taylor_Perkins,2016-08-03,FALSE,84,Good,2025-12-26 14:15:54.011
37,Jeffrey_Smith,2019-07-05,TRUE,75,Good,2025-12-26 14:15:54.011
38,Robert_Sanders,2017-03-16,TRUE,92,Excellent,2025-12-26 14:15:54.011
39,Billy_Harding,2019-08-18,TRUE,86,Good,2025-12-26 14:15:54.011
40,Roberto_Rush,2017-10-09,FALSE,78,Good,2025-12-26 14:15:54.011
41,Kevin_Montgomery,2023-03-16,FALSE,70,Good,2025-12-26 14:15:54.011
42,David_Shepard,2017-08-31,FALSE,100,Excellent,2025-12-26 14:15:54.011
43,Monica_Navarro,2020-12-19,FALSE,100,Excellent,2025-12-26 14:15:54.011
44,Helen_Tran,2018-04-26,TRUE,79,Good,2025-12-26 14:15:54.011
45,Brian_Lane,2022-01-20,FALSE,93,Excellent,2025-12-26 14:15:54.011
46,Melissa_Lucero,2016-01-31,FALSE,84,Good,2025-12-26 14:15:54.011
47,Jeffrey_Garcia,2017-12-02,TRUE,72,Good,2025-12-26 14:15:54.011
48,Keith_Anderson,2016-08-02,TRUE,72,Good,2025-12-26 14:15:54.011
49,Ralph_Gonzalez,2017-08-01,TRUE,84,Good,2025-12-26 14:15:54.011
50,Roy_Hopkins,2016-01-11,TRUE,97,Excellent,2025-12-26 14:15:54.011
51,Emily_Jimenez,2021-06-04,FALSE,96,Excellent,2025-12-26 14:15:54.011
52,Mr._James_Nelson,2021-07-31,TRUE,98,Excellent,2025-12-26 14:15:54.011
53,Jennifer_Ramirez,2024-04-24,FALSE,81,Good,2025-12-26 14:15:54.011
54,Toni_Mayo,2017-06-28,FALSE,92,Excellent,2025-12-26 14:15:54.011
55,Taylor_Smith,2016-10-04,FALSE,94,Excellent,2025-12-26 14:15:54.011
56,Caleb_Bryan,2019-10-17,TRUE,88,Good,2025-12-26 14:15:54.011
57,Thomas_Mcbride,2024-10-10,FALSE,73,Good,2025-12-26 14:15:54.011
58,Jeremy_Rogers,2017-04-29,FALSE,71,Good,2025-12-26 14:15:54.011
59,Alex_Payne,2019-03-09,FALSE,86,Good,2025-12-26 14:15:54.011
60,Rachel_Smith,2018-11-02,TRUE,98,Excellent,2025-12-26 14:15:54.011
61,Dr._Kathy_Miller_MD,2019-03-26,TRUE,97,Excellent,2025-12-26 14:15:54.011
62,Natalie_Humphrey,2023-12-01,FALSE,88,Good,2025-12-26 14:15:54.011
63,Jenny_Reed,2018-08-29,FALSE,79,Good,2025-12-26 14:15:54.011
64,Jeremy_Short,2016-09-10,FALSE,71,Good,2025-12-26 14:15:54.011
65,Cory_Gordon,2016-11-27,FALSE,100,Excellent,2025-12-26 14:15:54.011
66,Tara_Kelley,2016-04-10,FALSE,70,Good,2025-12-26 14:15:54.011
67,Jessica_Kim,2019-07-11,FALSE,70,Good,2025-12-26 14:15:54.011
68,Roy_Merritt,2016-12-12,FALSE,78,Good,2025-12-26 14:15:54.011
69,Stuart_James,2019-06-29,FALSE,71,Good,2025-12-26 14:15:54.011
70,Claudia_Salas,2024-08-24,FALSE,85,Good,2025-12-26 14:15:54.011
71,Jennifer_Frank,2022-08-22,TRUE,95,Excellent,2025-12-26 14:15:54.011
72,Ryan_Graham,2020-05-04,TRUE,76,Good,2025-12-26 14:15:54.011
73,Karen_Taylor,2016-09-19,TRUE,99,Excellent,2025-12-26 14:15:54.011
74,Jorge_Morales,2024-09-01,FALSE,84,Good,2025-12-26 14:15:54.011
75,Jason_Flores,2021-08-16,TRUE,74,Good,2025-12-26 14:15:54.011
76,Karen_Shah,2020-07-07,FALSE,87,Good,2025-12-26 14:15:54.011
77,Charles_Barrett,2021-09-12,FALSE,70,Good,2025-12-26 14:15:54.011
78,Tina_Henry,2023-07-07,TRUE,82,Good,2025-12-26 14:15:54.011
79,Evan_Luna,2022-06-02,FALSE,87,Good,2025-12-26 14:15:54.011
